COURSE_SECTION_NUMBER,STUDENT_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,EMAIL
1,11111111,Domenic,,Noyola,noyolad@lmrstate.edu
1,11111112,Dwight,,Dalton,daltond@lmrstate.edu
1,11111113,Marge,,Kita,kitam@lmrstate.edu
2,11111114,Jannet,,Motley,motleyj@lmrstate.edu
2,11111115,Eun,,Sherrell,sherrelle@lmrstate.edu
2,11111116,Eduardo,,Roach,roache@lmrstate.edu
3,11111117,Rozella,,Pontious,pontiousr@lmrstate.edu
3,11111118,Anja,,Tingey,tingeya@lmrstate.edu
3,11111119,Ivory,,Harman,harmani@lmrstate.edu
4,11111120,Sheree,,Bluford,blufords@lmrstate.edu
4,11111121,Jeneva,,Dyal,dyalj@lmrstate.edu
4,11111122,Emelda,,Leyendecker,leyendecke@lmrstate.edu
