"Name","Email","SectionID","Q_01","Q_02","Q_03","Q_04","Q_05","Q_06","Q_07","Q_08","Q_09","Q_10","Q_11","Q_12","GQ_01","GQ_02","GQ_03","GQ_04","GQ_05","GQ_06","GQ_07","GQ_08","GQ_09","GQ_10","GQ_11","GQ_12","NumberCorrect"
"Dwight Dalton","daltond@lmrstate.edu",1,"C","B","E","A","C","D","A","E","C","B","A","A",0,0,1,1,0,1,1,0,0,1,1,1,7
"Domenic Noyola","noyolad@lmrstate.edu",1,"B","A","E","D","E","D","A","B","A","B","A","A",1,0,1,0,1,1,1,1,0,1,1,1,9
"Jannet Motley","motleyj@lmrstate.edu",2,"B","C","D","D","C","D","A","B","D","A","A","A",1,1,0,0,0,1,1,1,1,0,1,1,8
"Eduardo Roach","roache@lmrstate.edu",2,"B","C","E","A","D","D","A","B","D","B","A","D",1,1,1,1,0,1,1,1,1,1,1,0,10
"Eun Sherrell","sherrelle@lmrstate.edu",2,"B","C","E","A","D","B","C","E","C","B","E","A",1,1,1,1,0,0,0,0,0,1,0,1,6
"Ivory Harman","harmani@lmrstate.edu",3,"B","B","E","A","D","B","A","B","D","B","B","A",1,0,1,1,0,0,1,1,1,1,0,1,8
"Rozella Pontious","pontiousr@lmrstate.edu",3,"B","C","E","A","B","C","C","B","C","B","A","D",1,1,1,1,0,0,0,1,0,1,1,0,7
"Anja Tingey","tingeya@lmrstate.edu",3,"B","C","E","A","B","D","A","B","D","B","A","C",1,1,1,1,0,1,1,1,1,1,1,0,10
"Sheree Bluford","blufords@lmrstate.edu",4,"B","B","E","A","B","D","A","A","C","B","A","D",1,0,1,1,0,1,1,0,0,1,1,0,7
"Jeneva Dyal","dyalj@lmrstate.edu",4,"B","C","E","A","D","D","A","B","D","B","A","A",1,1,1,1,0,1,1,1,1,1,1,1,11
"Emelda Leyendecker","leyendecke@lmrstate.edu",4,"A","A","E","A","E","B","A","B","D","B","A","A",0,0,1,1,1,0,1,1,1,1,1,1,9
